JA4MT31HXXP0,Mitsubishi,Montero/Montero Sport
3C4FY58B25T5,Chrysler,PT Cruiser
1G1ZT53856F2,Chevrolet,Malibu/Malibu Maxx
1N4BL11D95N4,Datsun/Nissan,Altima
1NXAE94AXNZ3,Toyota,Corolla
1FUJA6DR6ADA,Freightliner,Medium/Heavy – COE high entry
1FMYU70E21UB,Ford,Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport
1HD1GPW165K3,Harley-Davidson,750cc or greater
1HD1KB4129Y6,Harley-Davidson,750cc or greater
1BABNBKA95F2,Bluebird,Bus**: Conventional (Engine out front)
1G3HN52K0X48,Oldsmobile,Delta 88/LSS
1GCCS1448YK1,Chevrolet,S-10/T-10 Pickup
1FMRU17L6XLC,Ford,Expedition
1FAHP31N46W1,Ford,Focus
KMHJF25F9XU8,Hyundai,Elantra
1FMYU03112KD,Ford,Escape
1HTMMAAM07H5,International Harvester/Navistar,Medium/Heavy - CBE
2HGEH3388NH5,Honda,"Civic/CRX, del Sol"
1FTZX17W1WKA,Ford,F-Series pickup
1N4AL11E43C2,Datsun/Nissan,Altima
1FALP62WXTH1,Ford,Thunderbird (all sizes)
3VWST71K96M0,Volkswagen,Jetta/Jetta SportsWagen
1G2NF52F32C1,Pontiac,Grand AM
2MECM75W2NX6,Mercury,Marquis/Monterey (car version; for van version 2004 on see code 444) /Grand Marquis
1HD1FFW423Y6,Harley-Davidson,750cc or greater
JYARN23E89A0,Yamaha,750cc or greater
1FAFP34N36W1,Ford,Focus
1GCEK19V16E1,Chevrolet,"C, K, R, V-series pickup/Silverado"
JTDBT1234302,Toyota,ECHO
1GCCS1449X81,Chevrolet,S-10/T-10 Pickup
JHMEJ6524VS0,Honda,"Civic/CRX, del Sol"
1HD1BMY132Y0,Harley-Davidson,750cc or greater
1HD1BKL13XY0,Harley-Davidson,750cc or greater
1J4FJ68S8WL1,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on)
2FTZF07381CA,Ford,F-Series pickup
JTEGD20V1400,Toyota,RAV4 *
W14BF5S12602,Dodge,"D, W-Series pickup"
2FTHF25HXNCA,Ford,F-Series pickup
JTEBU11F29K0,Toyota,FJ Cruiser
3A8FY48959T5,Chrysler,PT Cruiser
1B4GP44G8YB7,Dodge,Caravan/Grand Caravan
1GCGK13U03F1,Ford,F-Series pickup
1YVGF22CXY51,Mazda,626
1J8GR48K27C5,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on)
1GDG5C1G77F9,GMC,Medium/Heavy - CBE
1G4HP52K9VH4,Buick / Opel,"LeSabre/Centurion/ Estate Wagon, Invicta, Custom, Limited, T-Type, Ltd, C.M.I, LE"
1FTNW21P04EB,Ford,F-Series pickup
1FTDX1764VKA,Ford,F-Series pickup
1FAAP36X6RK1,Ford,Tempo
1HD1CGP194K4,Harley-Davidson,750cc or greater
4T1BE46K19U3,Toyota,Camry
WMEEJ31X49K2,Smart,Fortwo
1FTRW08L71KF,Ford,F-Series pickup
5RYMC05438S0,Other Make,Unknown cc
1FMSU43F1YEE,Ford,Excursion
1HD1GEL12TY3,Harley-Davidson,750cc or greater
JS3TX92V2241,Suzuki,Sidekick/Vitara/ Vitara V6
2G1WN52KXX91,Chevrolet,Lumina
1N4AL11DX2C1,Datsun/Nissan,Altima
JS1VP53AX321,Suzuki,450-749cc
1NXBU4EE0AZ3,Toyota,Corolla
1HD1KBW106Y6,Harley-Davidson,750cc or greater
4A3AC44G5YE0,Mitsubishi,Eclipse
1GNEK18K8NJ3,Chevrolet,Fullsize Blazer/Tahoe
1FMCU94135KD,Ford,Escape
3GNEC13T03G3,Chevrolet,Avalanche
